summary,pred,label,score,anger,disgust,fear,joy,neutral,sadness,surprise
Eddard Stark is torn between his family and an old friend when asked to serve at the side of King Robert Baratheon; Viserys plans to wed his sister to a nomadic warlord in exchange for an army.,0,anger,0.7371914,0.7371914,0.07042619,0.015035507,0.003497308,0.024049455,0.14812644,0.001673785
"While Bran recovers from his fall, Ned takes only his daughters to King's Landing. Jon Snow goes with his uncle Benjen to the Wall. Tyrion joins them.",4,neutral,0.7055449,0.017151525,0.079332896,0.025156232,0.017880457,0.7055449,0.15020093,0.004733101
Jon begins his training with the Night's Watch; Ned confronts his past and future at King's Landing; Daenerys finds herself at odds with Viserys.,2,fear,0.9146319,0.039414853,0.005805326,0.9146319,0.004741746,0.018603362,0.013239915,0.003562889
"Eddard investigates Jon Arryn's murder. Jon befriends Samwell Tarly, a coward who has come to join the Night's Watch.",2,fear,0.27883142,0.21779758,0.16674888,0.27883142,0.003378836,0.056751978,0.2744692,0.00202213
"Catelyn has captured Tyrion and plans to bring him to her sister, Lysa Arryn, at the Vale, to be tried for his, supposed, crimes against Bran. Robert plans to have Daenerys killed, but Eddard refuses to be a part of it and quits.",0,anger,0.7772541,0.7772541,0.103469774,0.007519252,0.001884443,0.043469023,0.06553919,0.000864143
"While recovering from his battle with Jaime, Eddard is forced to run the kingdom while Robert goes hunting. Tyrion demands a trial by combat for his freedom. Viserys is losing his patience with Drogo.",0,anger,0.6767364,0.6767364,0.10974913,0.014208091,0.001269312,0.0552588,0.14116262,0.001615682
"Robert has been injured while hunting and is dying. Jon and the others finally take their vows to the Night's Watch. A man, sent by Robert, is captured for trying to poison Daenerys. Furious, Drogo vows to attack the Seven Kingdoms.",5,sadness,0.4236126,0.2193639,0.04260951,0.017322933,0.005529286,0.27420107,0.4236126,0.017360792
The Lannisters press their advantage over the Starks; Robb rallies his father's northern allies and heads south to war; The White Walkers attack the Wall; Tyrion returns to his father with some new friends.,3,joy,0.7428252,0.018803556,0.005138863,0.005539197,0.7428252,0.1841998,0.017545315,0.025948139
Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.,5,sadness,0.69320774,0.007540313,0.0194991,0.1980852,0.002459339,0.068269245,0.69320774,0.010939066
Robb vows to get revenge on the Lannisters. Jon must officially decide if his place is with Robb or the Night's Watch. Daenerys says her final goodbye to Drogo.,0,anger,0.36030728,0.36030728,0.080872305,0.007044651,0.01198223,0.18324007,0.3512357,0.005317812
Tyrion arrives at King's Landing to take his father's place as Hand of the King. Stannis Baratheon plans to take the Iron Throne for his own. Robb tries to decide his next move in the war. The Night's Watch arrive at the house of Craster.,4,neutral,0.7104553,0.027430033,0.010126679,0.0696585,0.091093935,0.7104553,0.048501346,0.042734217
"Arya makes friends with Gendry. Tyrion tries to take control of the Small Council. Theon arrives at his home, Pyke, in order to persuade his father into helping Robb with the war. Jon tries to investigate Craster's secret.",1,disgust,0.5753465,0.24440402,0.5753465,0.025290694,0.011517863,0.11414283,0.026030049,0.003268029
Tyrion tries to see who he can trust in the Small Council. Catelyn visits Renly to try and persuade him to join Robb in the war. Theon must decide if his loyalties lie with his own family or with Robb.,4,neutral,0.5011089,0.12904575,0.16447704,0.0912597,0.012356117,0.5011089,0.09934522,0.002407389
"Lord Baelish arrives at Renly's camp just before he faces off against Stannis. Daenerys and her company are welcomed into the city of Qarth. Arya, Gendry, and Hot Pie find themselves imprisoned at Harrenhal.",4,neutral,0.45059335,0.06387702,0.03406426,0.19121419,0.035578277,0.45059335,0.19822459,0.026448345
"Tyrion investigates a secret weapon that King Joffrey plans to use against Stannis. Meanwhile, as a token for saving his life, Jaqen H'ghar offers to kill three people that Arya chooses.",1,disgust,0.48402265,0.3690207,0.48402265,0.068262964,0.003033524,0.05386274,0.020098383,0.001698982
"Theon seizes control of Winterfell. Jon captures a wildling, named Ygritte. The people of King's Landing begin to turn against King Joffrey. Daenerys looks to buy ships to sail for the Seven Kingdoms.",2,fear,0.60807383,0.23208646,0.077845655,0.60807383,0.00528062,0.06224044,0.011761083,0.00271183
Bran and Rickon have escaped Winterfell. Theon tries to hunt them down. Daenerys' dragons have been stolen. Jon travels through the wilderness with Ygritte as his prisoner. Sansa has bled and is now ready to have Joffrey's children.,4,neutral,0.5701013,0.15735598,0.016327575,0.026461823,0.004286302,0.5701013,0.21723303,0.008233973
"Stannis is just days from King's Landing. Tyrion prepares for his arrival. Jon and Qhorin are taken prisoner by the wildlings. Catelyn is arrested for releasing Jaime. Arya, Gendry, and Hot Pie plan to escape from Harrenhal.",5,sadness,0.8123429,0.094376214,0.021258777,0.0432345,0.00270014,0.0237573,0.8123429,0.00233017
Stannis Baratheon's fleet and army arrive at King's Landing and the battle for the city begins. Cersei plans for her and her children's future.,2,fear,0.46041977,0.09710099,0.022400841,0.46041977,0.07104622,0.3033205,0.036761966,0.008949697
Joffrey puts Sansa aside for Margaery Tyrell. Robb marries Talisa Maegyr. Jon prepares to meet Mance Rayder. Arya says farewell to Jaqen H'ghar. Daenerys tries to rescue her dragons.,5,sadness,0.6566162,0.004654168,0.011019526,0.005509291,0.11382435,0.20207505,0.6566162,0.006301388
"Jon is brought before Mance Rayder, the King Beyond the Wall, while the Night's Watch survivors retreat south. In King's Landing, Tyrion asks for his reward. Littlefinger offers Sansa a way out.",4,neutral,0.5672519,0.12775235,0.060878962,0.026934713,0.005645762,0.5672519,0.20542699,0.006109261
"Bran and company meet Jojen and Meera Reed. Arya, Gendry, and Hot Pie meet the Brotherhood. Jaime travels through the wilderness with Brienne. Sansa confesses her true feelings about Joffery to Margaery.",4,neutral,0.57948345,0.011375348,0.019780204,0.028059253,0.113904655,0.57948345,0.23007241,0.017324712
Robb and Catelyn arrive at Riverrun for Lord Hoster Tully's funeral. Tywin names Tyrion the new Master of Coin. Arya says goodbye to Hot Pie. The Night's Watch returns to Craster's. Brienne and Jaime are taken prisoner.,5,sadness,0.88538456,0.002602025,0.00688396,0.004617963,0.02301368,0.07090792,0.88538456,0.0065899
Jaime mopes over his lost hand. Cersei is growing uncomfortable with the Tyrells. The Night's Watch is growing impatient with Craster. Daenerys buys the Unsullied.,0,anger,0.777812,0.777812,0.06958028,0.011665045,0.001793654,0.1252514,0.00868344,0.005214244
"Robb's army is falling apart. Jaime reveals a story, to Brienne, that he has never told anyone. Jon breaks his vows. The Hound is granted his freedom. The Lannisters hatch a new plan.",0,anger,0.39328307,0.39328307,0.11293538,0.013743652,0.004917575,0.14442183,0.32639152,0.004306988
Jon and the wildlings scale the Wall. The Brotherhood sells Gendry to Melisandre. Robb does what he can to win back the Freys. Tyrion tells Sansa about their engagement.,4,neutral,0.86036694,0.049193475,0.05445094,0.011588864,0.010266397,0.86036694,0.010365504,0.003767849
Jon and the wildlings travel south of the Wall. Talisa tells Robb that she's pregnant. Arya runs away from the Brotherhood. Daenerys arrives at Yunkai. Jaime leaves Brienne behind at Harrenhal.,5,sadness,0.42349133,0.015581489,0.015261635,0.14853455,0.010484904,0.36788648,0.42349133,0.018759571
Daenerys tries to persuade the Second Sons to join her against Yunkai. Stannis releases Davos from the dungeons. Sam and Gilly are attacked by a White Walker. Sansa and Tyrion wed.,2,fear,0.40952188,0.33493513,0.025566412,0.40952188,0.003406966,0.028173251,0.18951483,0.008881534
Robb and Catelyn arrive at the Twins for the wedding. Jon is put to the test to see where his loyalties truly lie. Bran's group decides to split up. Daenerys plans an invasion of Yunkai.,5,sadness,0.411174,0.25215617,0.051149447,0.07025455,0.026669879,0.18247522,0.411174,0.006120688
Bran and company travel beyond the Wall. Sam returns to Castle Black. Jon says goodbye to Ygritte. Jaime returns to King's Landing. The Night's Watch asks for help from Stannis.,5,sadness,0.62053615,0.005525308,0.007976208,0.008492689,0.026522141,0.32381105,0.62053615,0.007136447
"Tyrion welcomes a guest to King's Landing. At Castle Black, Jon stands trial. Daenerys is pointed to Meereen, the mother of all slave cities. Arya runs into an old enemy.",1,disgust,0.3642152,0.14751253,0.3642152,0.043067712,0.06519684,0.3277995,0.04538095,0.006827245
Joffrey and Margaery's wedding has come. Tyrion breaks up with Shae. Ramsay tries to prove his worth to his father. Bran and company find a Weirwood tree.,5,sadness,0.9528359,0.010723328,0.007724962,0.001748182,0.006394577,0.016465466,0.9528359,0.004107595
